"Title","Author","File_Format","APA_Citation","Link","Year","Description","Association","Link_Owner","Tags"
"Synthesizing U.S. River Restoration Efforts","ES Bernhardt, MA Palmer, JD Allan, G Alexander, K Barnas","pdf","Bernhardt, E. S., Palmer, M. A., Allan, J. D., Alexander, G., Barnas, K., Brooks, S., ... & Sudduth, E. (2005). Synthesizing US river restoration efforts. Science, 308(5722), 636-637.","https:\/\/www.science.org\/doi\/abs\/10.1126\/science.1109769",2005,"We began by compiling data on restoration projects from 18 national coverage databases maintained by federal agencies (b), but found that the majority of projects are recorded only at the regional or local level. A large number of municipal, state and regional databases are being developed, but we found few extensive databases (b) of river restoration [average no. of project records per data source was 51 ± 26 (95%CI)] (this does not include personal contacts which on average yielded information on six projects).","Science","science.org","Documents_Knowledge Base_Social"
"Technical Guide for Field Practitioners: Understanding and Monitoring Aquatic Organism Passage at Road Stream Crossings","N Heredia, B Roper, N Gillespie, C Roghair","book","Heredia, N., Roper, B., Gillespie, N., & Roghair, C. (2016). Technical Guide for Field Practitioners: Understanding and Monitoring Aquatic Organism Passage at Road-Stream Crossings. US Department of Agriculture, Forest Service, National Stream and Aquatic Ecology Center, Technical Report TR-101.","https:\/\/www.researchgate.net\/profile\/Nathaniel-Gillespie\/publication\/277430574_Distribution_Status_and_Land_Use_Characteristics_of_Subwatersheds_within_the_Native_Range_of_Brook_Trout_in_the_Eastern_United_States\/links\/57e2a06c08aeb5afc1d05fa9\/Distribution-Status-and-Land-Use-Characteristics-of-Subwatersheds-within-the-Native-Range-of-Brook-Trout-in-the-Eastern-United-States.pdf",2016,"The USFS manages approximately 370,000 miles of roads and replaces between 150-300 road-stream crossings annually, indicating a need for prioritizing restoration projects. While not specific to USFS land, a study of road-stream crossings in the Great Lakes region indicated that only 36% of locations were fully passable by fish (Januchowski-Hartley et al. 2013). Past USFS road-stream crossing remediation efforts have produced varying degrees of success, as measured by newly available habitat per dollar spent.","USFS","researchgate.net","Documents_Knowledge Base_Hydraulics,Documents_Knowledge Base_Geomorphology,Documents_Knowledge Base_Biological Ecology,Documents_Evaluation_Hydraulics,Documents_Evaluation_Geomorphology,Documents_Evaluation_Physico chemical,Documents_Design Theory_Stable ch design and Stabilization,Documents_Actions and Goals_Aquatic organism passage"
"The Legend of A. F. Shields","JM Buffington","pdf","Buffington, J. M. (1999). The legend of AF Shields. Journal of Hydraulic Engineering, 125(4), 376-387.","https:\/\/ascelibrary.org\/doi\/10.1061\/%28ASCE%290733-9429%281999%29125%3A4%28376%29",1999,"The well-known doctoral work of Shields is a tale that is frequently recounted by many authors and has spawned a large, continuing body of research over the last 60 years. Despite the success of Shields' work, the details of his experimental methods and results as reported by others are quite variable. Inconsistencies and misconceptions regarding Shields' work are identified and examined here. Incomplete descriptions by Shields, loss of his original data, and Shields' postgraduate absence from the hydraulic engineering community leave some of the identified inconsistencies open to debate.","Journal of Hydraulic Engineering","ascelibrary.org","Documents_Knowledge Base_Geomorphology"
"Tools in Fluvial Geomorphology","Kondolf","book","Kondolf, G. M., & Piégay, H. (Eds.). (2016). Tools in fluvial geomorphology (p. 171). Chichester, UK: John Wiley & Sons.","https:\/\/www.wiley.com\/en-us\/Tools+in+Fluvial+Geomorphology%2C+2nd+Edition-p-9780470684054",2016,"In recent years there has been a marked increase in funding and employment in river restoration. Methods in Fluvial Geomorphology provides an integrated approach to the interdisciplinary nature of the subject and offers guidance for researchers and professionals on the tools available to answer questions on river management on very difference scales.","Wiley","onlinelibrary.wiley.com","Documents_Knowledge Base_Geomorphology,Documents_Evaluation_Sediment Transport,Documents_Evaluation_Geomorphology"
"TR-55 Watershed Hydrology","RG Cronshey","pdf","Cronshey, R. (1986). Urban hydrology for small watersheds. US Dept. of Agriculture, Soil Conservation Service, Engineering Division.","https:\/\/tamug-ir.tdl.org\/handle\/1969.3\/24438",1986,"A microcomputer program is being prepared for the upcoming revision of the Soil Conservation Service's 'Urban Hydrology for Small Watersheds,' Technical Release Number 55 (TR-55). TR-55 presents methods for computing runoff volume and peak rates of discharge in urban and urbanizing areas. The program will be written in BASIC to run under MS-DOS. Features include modular design, user-oriented input, HELP screens, special function keys, and user defined data files.","NRCS","tamug-ir.tdl.org","Documents_Knowledge Base_Hydrology,Documents_Evaluation_Hydrology"
"Watershed Assessment of River Stability and Sediment Supply","DL Rosgen","book","Rosgen, D. L. (2009). Watershed assessment of river stability and sediment supply (WARSSS). Wildland Hydrology.","https:\/\/www.google.com\/books\/edition\/Watershed_Assessment_of_River_Stability\/fgL3SAAACAAJ?hl=en",2009,"A geomorphology-based procedure to quantify the effects of land uses on sediment relations and channel stability. Implements a three-phase assessment to quickly identify processes and land uses responsible for erosion, channel instability and disproportionate sediment supply; provides a cumulative watershed impact analysis to prioritize mitigation; assesses watershed condition needed for river restoration planning and design; developed in partnership with the USEPA for national application for impaired rivers; includes a CD-ROM of worksheets.","Wildland Hydrology","books.google.com","Documents_Knowledge Base_Hydraulics,Documents_Knowledge Base_Geomorphology,Documents_Evaluation_Hydraulics,Documents_Evaluation_Sediment Transport,Documents_Evaluation_Geomorphology,Documents_Design Theory_Natural Channel Design,Documents_Design Theory_Stable ch design and Stabilization,Documents_Design Theory_Threshold channel design"
"303D Impaired Waters and TMDLs Info","EPA","website","Clean Water Act Section 303(d): Impaired Waters and Total Maximum Daily Loads (TMDLs). (2014, September 26). US EPA. https:\/\/www.epa.gov\/tmdl","https:\/\/www.epa.gov\/tmdl",2022,"Section 303(d) of the Clean Water Act authorizes EPA to assist states, territories and authorized tribes in listing impaired waters and developing Total Maximum Daily Loads (TMDLs) for these waterbodies. A TMDL establishes the maximum amount of a pollutant allowed in a waterbody and serves as the starting point or planning tool for restoring water quality.","EPA","epa.gov","Models and Tools_Data Sources_Water Quality,Models and Tools_Actions and Goals_Restoration Planning Site Evaluation"
"2016 National Land Cover Database","MRLC","website","Data. (n.d.). Multi-Resolution Land Characteristics (MRLC) Consortium. Retrieved January 11, 2023, from https:\/\/www.mrlc.gov\/data","https:\/\/www.mrlc.gov\/data",2016,"NLCD provides spatial reference and descriptive data for characteristics of the land surface such as thematic class (e.g., urban, agriculture, and forest), percent impervious surface, and percent tree canopy cover.","MRLC","mrlc.gov","Models and Tools_Data Sources_Vegetation,Models and Tools_Data Sources_Land Use and Land Cover"
"Ansys CFX (Ansys)","ANSYS","software","Ansys CFX. (2020, December 22). Ansys Inc. https:\/\/www.ansys.com\/products\/fluids\/ansys-cfx","https:\/\/www.ansys.com\/products\/fluids\/ansys-cfx",2022,"Computational fluid dynamics (CFD) software tools used to simulate and analyze fluid flow, heat transfer, and other related phenomena","ANSYS","ansys.com","Models and Tools_Hydraulics_Computational Fluid Dynamics,Models and Tools_Hydraulics_Hydraulic parameters"
"Ansys Fluent (Ansys)","ANSYS","software","Ansys Fluent. (2020, December 22). Ansys Inc. https:\/\/www.ansys.com\/products\/fluids\/ansys-fluent","https:\/\/www.ansys.com\/products\/fluids\/ansys-fluent",2022,"Computational fluid dynamics (CFD) software tools used to simulate and analyze fluid flow, heat transfer, and other related phenomena","ANSYS","ansys.com","Models and Tools_Hydraulics_Computational Fluid Dynamics,Models and Tools_Hydraulics_Hydraulic parameters"
"Atlas 14 Point Precipitation Frequency Estimates","NWS","website","NOAA, U. (2018). Atlas 14 point precipitation frequency estimates. National Oceanic and Atmospheric Administration.","https:\/\/hdsc.nws.noaa.gov\/hdsc\/pfds\/index.html",2018,"The Precipitation Frequency Data Server (PFDS) is a point-and-click interface developed to deliver NOAA Atlas 14 precipitation frequency estimates and associated information. Upon clicking a state on the map above or selecting a state name from the drop-down menu, an interactive map of that state will be displayed. From there, a user can identify a location for which precipitation frequency estimates are needed.","NWS","hdsc.nws.noaa.gov","Models and Tools_Data Sources_Climate,Models and Tools_Data Sources_Water Quantity"
"Atlas 2 Precipitation Frequency Estimates","NWS","website","Miller, J. F., Frederick, R. H., & Tracey, R. J. (1973). Precipitation-Frequency Atlas of the Western United States. Volume 3. Colorado.","https:\/\/hdsc.nws.noaa.gov\/hdsc\/pfds\/index.html",1973,"The Precipitation Frequency Data Server (PFDS) is a point-and-click interface developed to deliver NOAA Atlas 14 precipitation frequency estimates and associated information. Upon clicking a state on the map above or selecting a state name from the drop-down menu, an interactive map of that state will be displayed. From there, a user can identify a location for which precipitation frequency estimates are needed.","NWS","hdsc.nws.noaa.gov","Models and Tools_Data Sources_Climate,Models and Tools_Data Sources_Water Quantity"
"BAGS: Bedload Assessment in Gravel-bedded Streams","USFS","spreadsheet","USFS NSAEC. Retrieved January 11, 2023, from https:\/\/www.fs.usda.gov\/biology\/nsaec\/","https:\/\/www.fs.fed.us\/biology\/nsaec\/products-tools.html",2009,"BAGS is a spreadsheet-based program that predicts bed load transport using six well-known bed load transport equations developed specifically for gravel-bed rivers. Sediment transport estimates are calculated on the basis of field measurements of channel geometry, reach-average slope, and bed material grain size. Field data and other relevant input parameters are entered into the program sequentially through a series of prompts to the user. Calculations are carried out using Visual Basic for Applications and the output is stored on individual spreadsheets.","USFS","fs.fed.fed.us","Models and Tools_Sediment Transport_Sediment competence,Models and Tools_Sediment Transport_Sediment Supply Yield,Models and Tools_Sediment Transport_Sediment Transport Capacity,Models and Tools_Sediment Transport_Effective discharge"
"Bank Erosion Hazard Index (BEHI)\/Near Bank Stress Calculation Spreadsheet","W Harman","spreadsheet","Stream mechanics – restoring stream ecosystems. (n.d.). Retrieved January 11, 2023, from https:\/\/stream-mechanics.com","https:\/\/stream-mechanics.com\/wp-content\/uploads\/2020\/10\/Bank-Erosion-Summary-Table-w-BEHI-and-NBS-forms-Template_10-20-2020.xlsx",2020,"This workbook is set up to record 20 banks. There are 20 BEHI forms, 20 NBS forms, and 20 rows for banks on the bank summary sheet. If you are recording more than 20 banks you will need to add more BEHI and NBS forms by copying the forms to new tabs. You will also need to insert extra rows on the bank summary sheet. The new forms and rows will not be automatically linked.","Stream-Mechanics","stream-mechanics.com","Models and Tools_Hydraulics_Hydraulic parameters,Models and Tools_Sediment Transport_Scour,Models and Tools_Sediment Transport_Bed and Bank Erosion,Models and Tools_Actions and Goals_Natural Channel Design,Models and Tools_Actions and Goals_Stabilization"
"BSTEM Bank Stability and Toe Erosion Model","USDA","software","Overview : USDA ARS. (n.d.). Retrieved January 11, 2023, from https:\/\/www.ars.usda.gov\/southeast-area\/oxford-ms\/national-sedimentation-laboratory\/watershed-physical-processes-research\/research\/bstem\/overview\/","https:\/\/www.ars.usda.gov\/southeast-area\/oxford-ms\/national-sedimentation-laboratory\/watershed-physical-processes-research\/research\/bstem\/overview\/",2016,"The Bank Stability and Toe Erosion Model is a physically-based model. It represents two distinct processes, namely, the failure by shearing of a soil block of variable geometry and the erosion by flow of bank and bank toe material. The effect of toe erosion, vegetative treatments or other bank and bank toe protection measures can be illustrated by calculating the actual Factor of Safety (Fs) of the bank. To obtain a Fs value or to accurately model toe","USDA","ars.usda.gov","Models and Tools_Hydraulics_Hydraulic parameters,Models and Tools_Sediment Transport_Bed and Bank Erosion,Models and Tools_Actions and Goals_Stabilization"
"Evaluating the Stability of Large Wood Structures","USFS","spreadsheet","USFS NSAEC. Retrieved January 11, 2023, from https:\/\/www.fs.usda.gov\/biology\/nsaec\/","https:\/\/www.fs.usda.gov\/biology\/nsaec\/index.html",2016,"Large logs are often placed in streams to benefit aquatic and riparian-dependent fish and wildlife as a part of stream restoration projects. When specifying the type of large wood structure to be used, restoration practitioners, planners, and local residents need to be assured that the constructed structures will likely remain in place under the expected conditions. To be considered stable, a structure must be able to resist hydraulic forces with an appropriate factor of safety. The design practitioner is typically forced to perform numerous complex and time-consuming calculations to achieve the desired level of safety, resulting in additional project time and expense. To assist these practitioners, an Excel spreadsheet tool was developed that applies computational equations and design guidelines to analyze virtually any proposed configuration of small-to-medium size structures.","USFS","fs.fed.us","Models and Tools_Hydraulics_Hydraulic parameters,Models and Tools_Geomorphology_Geomorphic Features,Models and Tools_Actions and Goals_Instream Structures,Models and Tools_Actions and Goals_Large Wood"
"CulvertMaster","Bentley","software","OpenFlows CulvertMaster: Culvert Hydraulic Software. (2022, June 1). Bentley Systems | Infrastructure Engineering Software Company. https:\/\/www.bentley.com\/en\/products\/product-line\/hydraulics-and-hydrology-software\/culvertmaster","https:\/\/www.bentley.com\/en\/products\/product-line\/hydraulics-and-hydrology-software\/culvertmaster",2022,"Analyze existing culverts and design new ones, from simple barrel crossings to complex embankment cross-drain systems, with different shapes and sizes, special tail water considerations, and roadway overtopping that considering watershed data, culvert characteristics, and even weir geometry.","Bentley","bentley.com","Models and Tools_Hydraulics_Stormwater and Pipe Flows"
"Earth Explorer Aerials\/EROS Archive","USGS","website","Survey, U.-U. S. G. (n.d.). EarthExplorer. USGS - U.S. Geological Survey. Retrieved January 11, 2023, from https:\/\/earthexplorer.usgs.gov\/","https:\/\/earthexplorer.usgs.gov\/",2022,"The USGS Earth Explorer data portal is your one stop shop for obtaining geo-spatial datasets from our extensive collections. Users can navigate via interactive map or text search to obtain Landsat satellite imagery, Radar data, UAS data, digital line graphs, digital elevation model data, aerial photos, Sentinel satellite data, some commercial satellite imagery including IKONOS and OrbView3, land cover data, digital map data from the National Map, and many other datasets. Users can search by exact location via the interactive map or input specific coordinates to view what data types are available.","USGS","earthexplorer.usgs.gov","Models and Tools_Data Sources_Aerial Photogrammetry"
"EPA Storm Water Management Model (SWMM)","EPA","software","Storm water management model (SWMM). (2014, May 21). US EPA. https:\/\/www.epa.gov\/water-research\/storm-water-management-model-swmm","https:\/\/www.epa.gov\/water-research\/storm-water-management-model-swmm",2022,"A dynamic hydrological simulation tool for urban stormwater systems.","EPA","epa.gov","Models and Tools_Hydraulics_Stormwater and Pipe Flows"
"FEMA Map Service Center","FEMA","website","FEMA Flood Map Service Center. (n.d.). Welcome! Retrieved January 11, 2023, from https:\/\/msc.fema.gov\/portal\/home","https:\/\/msc.fema.gov\/portal\/home",2022,"An online platform where users can access flood hazard maps, data and other related information provided by Federal Emergency Management Agency (FEMA)","FEMA","msc.fema","Models and Tools_Data Sources_Hydrography and Floodplains,Models and Tools_Data Sources_Water Quantity"
"FEMA National Flood Hazard Layer","FEMA","website","National flood hazard layer. (n.d.). FEMA.Gov. Retrieved January 11, 2023, from https:\/\/www.fema.gov\/flood-maps\/national-flood-hazard-layer","https:\/\/www.fema.gov\/flood-maps\/national-flood-hazard-layer",2022,"A data layer that provides information on flood hazards across the United States.","FEMA","fema.gov","Models and Tools_Data Sources_Hydrography and Floodplains"
"FishXing: Software and Learning Systems for Fish Passage Through Culvert","USFS","software","USFS NSAEC. Retrieved January 11, 2023, from https:\/\/www.fs.usda.gov\/biology\/nsaec\/","https:\/\/www.fs.usda.gov\/biology\/nsaec\/index.html",2012,"Software and Learning Systems for Fish Passage Through Culvert","USFS","fs.fed.us","Models and Tools_Hydraulics_1D hydraulics,Models and Tools_Hydraulics_Stormwater and Pipe Flows"
"Flow Master","Bentley","software","OpenFlows flowmaster: Hydraulic calculator. (2022, June 7). Bentley Systems | Infrastructure Engineering Software Company. https:\/\/www.bentley.com\/en\/products\/product-line\/hydraulics-and-hydrology-software\/flowmaster","https:\/\/www.bentley.com\/en\/products\/product-line\/hydraulics-and-hydrology-software\/flowmaster",2022,"A software tool for water distribution systems modeling and analysis","Bentley","bentley.com","Models and Tools_Hydraulics_Normal depth for 1D steady uniform flow,Models and Tools_Hydraulics_Critical depth for 1D steady uniform flow,Models and Tools_Hydraulics_1D hydraulics,Models and Tools_Hydraulics_Stormwater and Pipe Flows,Models and Tools_Hydraulics_Rating curve,Models and Tools_Hydraulics_Hydraulic parameters"
"Flow3D","Flow3D","software","FLOW-3D. (2019, January 6). FLOW-3D. https:\/\/www.flow3d.com\/","https:\/\/www.flow3d.com\/",2022,"a powerful computational fluid dynamics (CFD) software for simulating and analyzing complex engineering processes.","Flow3D","flow3d.com","Models and Tools_Hydraulics_Computational Fluid Dynamics"
"GAP\/LANDFIRE National Terrestrial Ecosystems 2011","USGS","website","U.S. Geological Survey Gap Analysis Project, 20160513, GAP\/LANDFIRE National Terrestrial Ecosystems 2011: U.S. Geological Survey, https:\/\/doi.org\/10.5066\/F7ZS2TM0","https:\/\/www.usgs.gov\/core-science-systems\/science-analytics-and-synthesis\/gap\/science\/introduction-land-cover-viewer?qt-science_center_objects=0#qt-science_center_objects",2022,"It's a dataset that provide information on the distribution of vegetation communities, species and types of land use and land cover.","USGS","usgs.gov","Models and Tools_Data Sources_Land Use and Land Cover"
"Geospatial Data Gateway","NRCS","website","USDA:NRCS:Geospatial Data gateway:home. (n.d.). Retrieved January 11, 2023, from https:\/\/datagateway.nrcs.usda.gov\/","https:\/\/datagateway.nrcs.usda.gov\/",2022,"a portal that allows users to find and download geospatial data provided by multiple agencies.","NRCS","datagateway.nrcs.usda.gov","Models and Tools_Data Sources_Climate,Models and Tools_Data Sources_Soils and Geology,Models and Tools_Data Sources_Hydrography and Floodplains,Models and Tools_Data Sources_Water Quantity,Models and Tools_Data Sources_Topography and Bathymetry,Models and Tools_Data Sources_Vegetation,Models and Tools_Data Sources_Land Use and Land Cover,Models and Tools_Data Sources_Aerial Photogrammetry"
"Guidelines for determining flow frequency Bulletin 17C","JF England Jr., TA Cohn, B Faber","pdf","England, J.F., Jr., Cohn, T.A., Faber, B.A., Stedinger, J.R., Thomas, W.O., Jr., Veilleux, A.G., Kiang, J.E., and Mason, R.R., Jr., 2018, Guidelines for determining flood flow frequency—Bulletin 17C (ver. 1.1, May 2019): U.S. Geological Survey Techniques and Methods, book 4, chap. B5, 148","https:\/\/pubs.er.usgs.gov\/publication\/tm4B5",2019,"a document that provides guidelines for determining the frequency of different flow conditions.","USACE","pubs.er.usgs.gov","Models and Tools_Hydrology_Compute statistics,Models and Tools_Hydrology_Flood Frequency"
"HEC-HMS","HEC","software","USACE (2000) Hydrologic Modeling System HEC-HMS User's Manual. Hydrologic Engineering Center, Davis, CA.","https:\/\/www.hec.usace.army.mil\/software\/hec-hms\/",2022,"Hydrologic Engineering Center - Hydrologic Modeling System, it's a rainfall-runoff modeling tool.","USACE HEC","hec.usace.army.mil","Models and Tools_Hydrology_Rainfall Runoff Analysis,Models and Tools_Hydrology_Flood Routing"
"HEC-SSP","HEC","software","Brunner, G., & Fleming, M. (2010). HEC-SSP Statistical Software Package. US Army Corps Eng. Inst. Water Resour. Hydrol. Eng. Cent. HEC. Available at: https:\/\/www. hec. usace. army. mil\/software\/hec-ssp.","https:\/\/www.hec.usace.army.mil\/software\/hec-ssp\/",2022,"Hydrologic Engineering Center - Sedimentation and Stream Stability Model, it's a tool for modeling sediment transport.","USACE HEC","hec.usace.army.mil","Models and Tools_Hydrology_Compute statistics,Models and Tools_Hydrology_Ungaged gage transfer regional regressions,Models and Tools_Hydrology_Flood Frequency,Models and Tools_Hydrology_Flow Duration"
"HEC-RAS","HEC","software","Brunner, G. W. (2002). Hec-ras (river analysis system). In North American water and environment congress & destructive water (pp. 3782-3787). ASCE.","https:\/\/www.hec.usace.army.mil\/software\/hec-ras\/",2022,"Hydrologic Engineering Center - River Analysis System, it's a tool for river and water flow analysis.","USACE HEC","hec.usace.army.mil","Models and Tools_Hydraulics_Normal depth for 1D steady uniform flow,Models and Tools_Hydraulics_Critical depth for 1D steady uniform flow,Models and Tools_Hydraulics_1D hydraulics,Models and Tools_Hydraulics_2D Hydraulics,Models and Tools_Hydraulics_Stormwater and Pipe Flows,Models and Tools_Hydraulics_Hydraulic roughness,Models and Tools_Hydraulics_Rating curve,Models and Tools_Hydraulics_Hydraulic parameters"
"Interconnected Pond Routing (ICPR) model","Streamnologies","software","ICPR 4 – Streamline Technologies, Inc. (n.d.). Retrieved January 11, 2023, from https:\/\/streamnologies.com\/content\/index.php\/about-icpr-4\/","https:\/\/streamnologies.com\/content\/index.php\/about-icpr-4\/",2022,"a mathematical model for simulating water flow in interconnected pond systems.","Streamnologies","streamnologies.com","Models and Tools_Hydrology_Rainfall Runoff Analysis,Models and Tools_Hydrology_Flood Routing,Models and Tools_Hydraulics_Normal depth for 1D steady uniform flow,Models and Tools_Hydraulics_Critical depth for 1D steady uniform flow,Models and Tools_Hydraulics_1D hydraulics,Models and Tools_Hydraulics_Stormwater and Pipe Flows,Models and Tools_Hydraulics_Hydraulic roughness"
"Iowa DNR Stream Restoration Toolbox","IOWA DNR","website","River Restoration Toolbox. (n.d.). Iowa DNR. Retrieved January 11, 2023, from https:\/\/www.iowadnr.gov\/Environmental-Protection\/Water-Quality\/River-Restoration\/River-Restoration-Toolbox","https:\/\/www.iowadnr.gov\/Environmental-Protection\/Water-Quality\/River-Restoration\/River-Restoration-Toolbox",2022,"a collection of tools for stream restoration planning and design provided by the Iowa Department of Natural Resources.","Iowa DNR","iowadnr.gov","Models and Tools_Geomorphology_Hydraulic geometry,Models and Tools_Geomorphology_Planform geometry,Models and Tools_Geomorphology_Channel change indices,Models and Tools_Geomorphology_Geomorphic Features,Models and Tools_Actions and Goals_Natural Channel Design,Models and Tools_Actions and Goals_Instream Structures,Models and Tools_Actions and Goals_Stabilization,Models and Tools_Actions and Goals_Restoration Planning Site Evaluation"
"Large Woody Debris Field Data and Asssesment","Stream Mechanics","spreadsheet","Resources – stream mechanics. (n.d.). Retrieved January 11, 2023, from https:\/\/stream-mechanics.com\/resources\/","https:\/\/stream-mechanics.com\/resources\/",2022,"a dataset and tool for assessing large woody debris in streams and rivers.","Stream Mechanics","stream-mechanics.com","Models and Tools_Geomorphology_Channel change indices,Models and Tools_Actions and Goals_Large Wood"
"LiDAR and Topo Data Access Viewer","NOAA","website","NOAA: Data access viewer. (n.d.). NOAA: Data Access Viewer. Retrieved January 11, 2023, from https:\/\/coast.noaa.gov\/dataviewer\/","https:\/\/coast.noaa.gov\/dataviewer\/#\/",2022,"a viewer for LiDAR and topographic data provided by multiple organizations.","NOAA","coast.noaa.gov","Models and Tools_Data Sources_Topography and Bathymetry,Models and Tools_Data Sources_Land Use and Land Cover,Models and Tools_Data Sources_Aerial Photogrammetry"
"LogPearson Frequency Analysis Spreadsheet for Analyses of Gage Records","USFS","spreadsheet","USFS NSAEC. Retrieved January 11, 2023, from https:\/\/www.fs.usda.gov\/biology\/nsaec\/","https:\/\/www.fs.usda.gov\/biology\/nsaec\/products-tools.html",2015,"Engineering projects along stream corridors require flow frequency estimates for their designs. Where sufficient streamgage data are available, the likely best method for developing flow frequency relationships are from statistical analyses of streamgage data. The standard procedure for developing these estimates use the logPearson frequency analysis, as detailed in Bulletin 17B (Interagency Advisory Committee on Water Data 1982). This spreadsheet tool was developed to implement the analysis procedures detailed in Bulletin 17B.","USFS","fs.usda.gov","Models and Tools_Hydrology_Stream gages,Models and Tools_Hydrology_Compute statistics,Models and Tools_Hydrology_Flood Frequency,Models and Tools_Hydrology_Peak flows"
"National Hydrography Dataset","USGS","website","U.S. Geological Survey, 2019, National Hydrography Dataset (ver. USGS National Hydrography Dataset Best Resolution (NHD) for Hydrologic Unit (HU) 4 - 2001 (published 20191002)), accessed October 23, 2019 at URL https:\/\/www.usgs.gov\/national-hydrography\/access-national-hydrography-products","https:\/\/www.usgs.gov\/national-hydrography\/national-hydrography-dataset",2019,"a dataset that provides detailed information on the nation's surface water features.","USGS","usgs.gov","Models and Tools_Data Sources_Hydrography and Floodplains,Models and Tools_Data Sources_Topography and Bathymetry"
"National River Restoration Science Synthesis (NRRSS)","ES Bernhardt","website","Bernhardt, E. S. (2005). National River Restoration Science Synthesis (NRRSS) statistics page for all node areas. US Geological Survey. Available: nrrss. nbii. gov.(December 2005).","https:\/\/github.com\/khondula\/nrrss",2005,"a synthesis of river restoration science and practices in the United States","Palmer","github.com","Models and Tools_Actions and Goals_Restoration Planning Site Evaluation"
"National Streamflow Statistics Program (NSS)","PR Hummel, MJ Gray","software","Hummel, P. R., Gray, M. J., Dusenbury, R., Jennings, M. E., Kirby, W. H., Riggs, H. C., ... & Thomas Jr, W. O. (2007). The National Streamflow Statistics Program: A Computer Program for Estimating Streamflow Statistics for Ungaged Sites (No. 4-A6).","https:\/\/water.usgs.gov\/software\/NSS\/",2022,"a program that provides statistics on streamflow in the United States.","USGS","water.usgs.gov","Models and Tools_Hydrology_Stream gages,Models and Tools_Hydrology_Download data,Models and Tools_Hydrology_Visualize time series,Models and Tools_Hydrology_Compute statistics,Models and Tools_Hydrology_Ungaged gage transfer regional regressions,Models and Tools_Hydrology_Flood Frequency"
"National Water Information System Mapper","USGS","website","Water resources of the united states—national water information system (NWIS) mapper. (n.d.). USGS - U.S. Geological Survey, Water Resources. Retrieved January 11, 2023, from https:\/\/maps.waterdata.usgs.gov\/mapper\/index.html","https:\/\/maps.waterdata.usgs.gov\/mapper\/index.html",2022,"A web-based mapping application that allows users to access water data provided by the USGS","USGS","maps.waterdata.usgs.gov","Models and Tools_Hydrology_Stream gages,Models and Tools_Hydrology_Download data,Models and Tools_Hydrology_Visualize time series,Models and Tools_Hydrology_Compute statistics,Models and Tools_Hydrology_Flood Frequency"
"National Weather Service River Forecast and Flood Stage Center","NOAA","website","US Department of Commerce, NOAA, National Weather Service. (n.d.). NOAA - National Weather Service. Water. Retrieved January 11, 2023, from https:\/\/water.weather.gov\/ahps\/forecasts.php","https:\/\/water.weather.gov\/ahps\/forecasts.php",2022,"A web-based system that provides river forecast, flood stages and other related information","NOAA","water.weather.gov","Models and Tools_Hydrology_Stream gages,Models and Tools_Hydrology_Download data,Models and Tools_Hydrology_Visualize time series"
"North Carolina Flood Risk Information System (FRIS) (NC)","NC Gov","website","Flood risk information system. (n.d.). Retrieved January 11, 2023, from https:\/\/fris.nc.gov\/fris","https:\/\/fris.nc.gov\/fris\/Index.aspx?ST=NC",2022,"A system providing flood hazard and risk information for North Carolina.","North Carolina Gov","fris.nc.gov","Models and Tools_Data Sources_Hydrography and Floodplains,Models and Tools_Hydrology_Stream gages"
"OpenFOAM","OpenFOAM","software","OpenFOAM. (n.d.). OpenFOAM. Retrieved January 11, 2023, from https:\/\/www.openfoam.com\/","https:\/\/www.openfoam.com\/",2022,"open-source software for computational fluid dynamics (CFD) simulation","OpenFOAM","openfoam.com","Models and Tools_Hydraulics_Computational Fluid Dynamics"
"PeakFQ","USGS","software","PeakFQ - Flood-Frequency analysis. (n.d.). USGS. Retrieved January 11, 2023, from https:\/\/water.usgs.gov\/software\/PeakFQ\/","https:\/\/water.usgs.gov\/software\/PeakFQ\/",2022,"tool for estimating the frequency of peak streamflows.","USGS","water.usgs.gov","Models and Tools_Hydrology_Visualize time series,Models and Tools_Hydrology_Compute statistics,Models and Tools_Hydrology_Ungaged gage transfer regional regressions,Models and Tools_Hydrology_Flood Frequency"
"Pebble Count Analyzer","USFS","spreadsheet","USFS NSAEC. Retrieved January 11, 2023, from https:\/\/www.fs.usda.gov\/biology\/nsaec\/","https:\/\/www.fs.usda.gov\/biology\/nsaec\/products-tools.html",2007,"This Excel spreadsheet was developed to assist with the analysis of pebble count data tallied by size class. The spreadsheet helps users estimate sample size, enter field data tallied by size class, produce tables and graphs, and perform statistical analysis using contingency tables and the Pearson chi-squared statistic. After downloading, to execute the spreadsheet users must select ""Enable Macros"" for the spreadsheet to function properly.","USFS","fs.usda.gov","Models and Tools_Hydraulics_1D hydraulics,Models and Tools_Hydraulics_Hydraulic roughness"
"PondPack","Bentley","software","Bentley Software. (2022, July 5). Bentley Systems | Infrastructure Engineering Software Company. https:\/\/www.bentley.com\/en\/products\/product-line\/hydraulics-and-hydrology-software\/pondpack","https:\/\/www.bentley.com\/en\/products\/product-line\/hydraulics-and-hydrology-software\/pondpack",2022,"a tool for modeling and analyzing pond hydrodynamics.","Bentley","bentley.com","Models and Tools_Hydrology_Flow Duration,Models and Tools_Hydrology_Rainfall Runoff Analysis"
